ORF	YF_GENE	OF_GENE
YAL001C	TFC3	TFC3
YAL002W	VPS8	VPS8
YAL003W	EFB1	EFB1
YAL004W	YAL004W	YAL004W
YAL005C	SSA1	SSA1
YAL007C	ERP2	ERP2
YAL008W	FUN14	FUN14
YAL009W	SPO7	SPO7
YAL010C	MDM10	MDM10
YAL011W	SWC3	SWC3
YAL012W	CYS3	CYS3
YAL013W	DEP1	DEP1
YAL014C	SYN8	SYN8
YAL015C	NTG1	NTG1
YAL016C-A	NA	YAL016C-A
YAL016C-B	YAL016C-B	YAL016C-B
YAL016W	TPD3	TPD3
YAL017W	PSK1	PSK1
YAL018C	LDS1	LDS1
YAL019W	FUN30	FUN30
YAL019W-A	NA	YAL019W-A
YAL020C	ATS1	ATS1
YAL021C	CCR4	CCR4
YAL022C	FUN26	FUN26
YAL023C	PMT2	PMT2
YAL024C	LTE1	LTE1
YAL025C	MAK16	MAK16
YAL026C	DRS2	DRS2
YAL026C-A	NA	YAL026C-A
YAL027W	SAW1	SAW1
YAL028W	FRT2	FRT2
YAL029C	MYO4	MYO4
YAL030W	SNC1	SNC1
YAL031C	GIP4	GIP4
YAL031W-A	NA	YAL031W-A
YAL032C	PRP45	PRP45
YAL033W	POP5	POP5
YAL034C	FUN19	FUN19
YAL034C-B	YAL034C-B	YAL034C-B
YAL034W-A	MTW1	MTW1
YAL035W	FUN12	FUN12
YAL036C	RBG1	RBG1
YAL037C-A	YAL037C-A	YAL037C-A
YAL037C-B	NA	YAL037C-B
YAL037W	YAL037W	YAL037W
YAL038W	CDC19	CDC19
YAL039C	CYC3	CYC3
YAL040C	CLN3	CLN3
YAL041W	CDC24	CDC24
YAL042C-A	YAL042C-A	YAL042C-A
YAL042W	ERV46	ERV46
YAL043C	PTA1	PTA1
YAL044C	GCV3	GCV3
YAL044W-A	BOL1	BOL1
YAL045C	YAL045C	YAL045C
YAL046C	BOL3	BOL3
YAL047C	SPC72	SPC72
YAL047W-A	NA	YAL047W-A
YAL048C	GEM1	GEM1
YAL049C	AIM2	AIM2
YAL051W	OAF1	OAF1
YAL053W	FLC2	FLC2
YAL054C	ACS1	ACS1
YAL055W	PEX22	PEX22
YAL056C-A	YAL056C-A	YAL056C-A
YAL056W	GPB2	GPB2
YAL058W	CNE1	CNE1
YAL059C-A	NA	YAL059C-A
YAL059W	ECM1	ECM1
YAL060W	BDH1	BDH1
YAL061W	BDH2	BDH2
YAL062W	GDH3	GDH3
YAL063C	FLO9	FLO9
YAL063C-A	YAL063C-A	YAL063C-A
YAL064C-A	TDA8	TDA8
YAL064W	YAL064W	YAL064W
YAL064W-B	YAL064W-B	YAL064W-B
YAL065C	YAL065C	YAL065C
YAL066W	YAL066W	YAL066W
YAL067C	SEO1	SEO1
YAL067W-A	YAL067W-A	YAL067W-A
YAL068C	PAU8	PAU8
YAL068W-A	NA	YAL068W-A
YAL069W	NA	YAL069W
YAR002C-A	ERP1	ERP1
YAR002W	NUP60	NUP60
YAR003W	SWD1	SWD1
YAR007C	RFA1	RFA1
YAR008W	SEN34	SEN34
YAR014C	BUD14	BUD14
YAR015W	ADE1	ADE1
YAR018C	KIN3	KIN3
YAR019C	CDC15	CDC15
YAR019W-A	NA	YAR019W-A
YAR020C	PAU7	PAU7
YAR023C	YAR023C	YAR023C
YAR027W	UIP3	UIP3
YAR028W	YAR028W	YAR028W
YAR029W	YAR029W	YAR029W
YAR030C	YAR030C	YAR030C
YAR031W	PRM9	PRM9
YAR033W	MST28	MST28
YAR035C-A	YAR035C-A	YAR035C-A
YAR035W	YAT1	YAT1
YAR042W	SWH1	SWH1
YAR047C	YAR047C	YAR047C
YAR050W	FLO1	FLO1
YAR053W	YAR053W	YAR053W
YAR060C	YAR060C	YAR060C
YAR064W	YAR064W	YAR064W
YAR066W	YAR066W	YAR066W
YAR068W	YAR068W	YAR068W
YAR069C	YAR069C	YAR069C
YAR070C	YAR070C	YAR070C
YAR071W	PHO11	PHO11
YAR073W	IMD1	IMD1
YAR075W	YAR075W	YAR075W
YBL001C	ECM15	ECM15
YBL002W	HTB2	HTB2
YBL003C	HTA2	HTA2
YBL004W	UTP20	UTP20
YBL005W	PDR3	PDR3
YBL006C	LDB7	LDB7
YBL006W-A	NA	YBL006W-A
YBL007C	SLA1	SLA1
YBL008W	HIR1	HIR1
YBL008W-A	YBL008W-A	YBL008W-A
YBL009W	ALK2	ALK2
YBL010C	LAA2	YBL010C
YBL011W	SCT1	SCT1
YBL012C	YBL012C	YBL012C
YBL013W	FMT1	FMT1
YBL014C	RRN6	RRN6
YBL015W	ACH1	ACH1
YBL016W	FUS3	FUS3
YBL017C	PEP1	PEP1
YBL018C	POP8	POP8
YBL019W	APN2	APN2
YBL020W	RFT1	RFT1
YBL021C	HAP3	HAP3
YBL022C	PIM1	PIM1
YBL023C	MCM2	MCM2
YBL024W	NCL1	NCL1
YBL025W	RRN10	RRN10
YBL026W	LSM2	LSM2
YBL027W	RPL19B	RPL19B
YBL028C	YBL028C	YBL028C
YBL029C-A	YBL029C-A	YBL029C-A
YBL029W	YBL029W	YBL029W
YBL030C	PET9	PET9
YBL031W	SHE1	SHE1
YBL032W	HEK2	HEK2
YBL033C	RIB1	RIB1
YBL034C	STU1	STU1
YBL035C	POL12	POL12
